"dataset_id","field_checked","old_value","verified_value","evidence_url","decision","notes"
"DS001","accession/publication/population/sample counts","GSE111889; phs001559; Adult; unclear specimen count","GSE111889; phs001626.v1.p1; PRJNA398089; mixed adult/pediatric; 2,965 specimens","Nature, GEO, dbGaP, BioProject","updated","Not analysis-ready because assay-specific completeness varies"
"DS002","portal/publication/sample count","Unclear citation and URL","IBDTransDB 2024, DOI/PMID, Shiny portal, 2,932 samples","PMC, PubMed, portal, GitHub","updated","Population set to Unclear because age mix not directly verified"
"DS020","GEO/publication/access","Approximate title and unclear access","GSE134809, Cell 2019 title, DOI, PMID, raw and processed public","GEO, PubMed, DOI","updated","Single-cell Crohn ileal lesion / PBMC context verified"
"DS023","proteomics archive/citation","PRIDE-first and unrestricted public raw data","MassIVE/ProteomeXchange, dataset DOI, Partial Public, related publication noted","ProteomeXchange, MassIVE, PubMed, DOI","partially updated","Publication linkage kept conservative because archive source says no publication"
"DS035","dbGaP title/sample count/access","phs002336, unclear sample count, Blood / Saliva","phs002336.v1.p1, exact dbGaP title, 10,503 subjects, specimen source unclear","dbGaP, DUC PDF, EGA, BioProject","updated","No DS035-specific publication DOI/PMID found"
"2026-05-10","DS003","public-source metadata verification","Verified GEO record, publication, DOI, PMID, RNA-seq platform, and public raw/processed availability. Subject count not directly confirmed from GEO page.","Codex public-source verification"
"2026-05-10","DS004","public-source metadata verification","Verified GEO record, publication, DOI, PMID, sample count, RNA-seq platform, and public raw/processed availability. Age group not directly supported.","Codex public-source verification"
"2026-05-10","DS005","public-source metadata verification","Verified GEO and publication. Corrected platform from microarray to RNA-seq/high-throughput sequencing; public raw and processed data are available.","Codex public-source verification"
"2026-05-10","DS006","public-source metadata verification","Verified GEO record, publication, DOI, PMID, platform, and public raw/processed availability. Subject count remains unclear because samples include internal controls.","Codex public-source verification"
"2026-05-10","DS007","public-source metadata verification","Verified GEO record and publication; 98 children and 176 samples; raw CEL archive and processed data available.","Codex public-source verification"
"2026-05-10","DS008","public-source metadata verification","Verified GEO record, publication, sample count, platform, and public raw/processed availability. Age group not directly supported.","Codex public-source verification"
"2026-05-10","DS009","public-source metadata verification","Verified GEO record and publication. Raw archive is public; processed availability is less clearly stated, so processed_data_available remains Unclear.","Codex public-source verification"
"2026-05-10","DS010","public-source metadata verification","Verified GEO record and publication. GEO indicates 31 individuals/samples and no supplementary raw files; processed data are public.","Codex public-source verification"
"2026-05-10","DS011","public-source metadata verification","Verified GEO and PubMed. GEO design reports 97 UC, 8 CD, and 11 controls with raw and processed public data.","Codex public-source verification"
"2026-05-10","DS012","public-source metadata verification","Verified GEO source record and public data availability. GEO citation is missing and no direct linked PubMed record was confirmed.","Codex public-source verification"
"2026-05-10","DS013","public-source metadata verification","Verified GEO and PubMed. GEO design reports controls, inactive/active UC, and inactive/active CD; subjects left unclear because duplicate batch samples are present.","Codex public-source verification"
"2026-05-10","DS014","public-source metadata verification","Verified GEO and PubMed. Revised tissue site from colon-only to colon plus terminal/neo-ileum based on GEO record.","Codex public-source verification"
"2026-05-10","DS015","public-source metadata verification","Verified GEO and PubMed. GEO design reports 13 UC patients and 8 normal controls.","Codex public-source verification"
"2026-05-10","DS016","public-source metadata verification","Verified GEO and PubMed. Revised disease scope from UC-only to CD, UC, and non-IBD controls based on source record.","Codex public-source verification"
"2026-05-10","DS017","public-source metadata verification","Verified GEO and PubMed. GEO design reports 6 healthy, 6 UC, and 6 CD samples with raw and annotation files.","Codex public-source verification"
"2026-05-10","DS018","public-source metadata verification","Verified GEO and PubMed. GEO design reports 3 healthy, 3 CD, and 3 UC FFPE samples with normalized matrix and raw data.","Codex public-source verification"
"2026-05-10","DS019","public-source metadata verification","Verified GEO and PubMed. PubMed/GEO report 41 subjects and 216 gut biopsies; processed h5 archives are public, raw FASTQ availability was not directly confirmed.","Codex public-source verification"
"2026-05-10","DS021","public-source metadata verification","Verified HCA project, GEO accession, DOI, sample count, access status, and publication. Replaced broad HCA portal description with a specific project-backed row.","Codex public-source verification"
